LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO
00,1610612757,POR,Portland,36,12,11,20,4,3,1,13,6,19
00,1610612747,LAL,Los Angeles,44,15,15,2,4,3,0,9,7,12
00,1610612764,WAS,Washington,26,9,13,21,3,5,1,18,9,12
00,1610612753,ORL,Orlando,30,6,11,5,3,5,1,17,4,16
00,1610612740,NOP,New Orleans,48,24,23,6,23,15,0,11,11,15
00,1610612741,CHI,Chicago,48,15,6,8,23,15,1,17,13,19
00,1610612737,ATL,Atlanta,40,11,15,8,20,17,0,10,4,12
00,1610612759,SAS,San Antonio,50,16,7,8,20,17,2,19,4,23
00,1610612762,UTA,Utah,46,8,14,14,8,3,1,12,4,11
00,1610612745,HOU,Houston,54,15,12,2,8,3,2,10,5,14
00,1610612757,POR,Portland,26,10,6,8,1,4,0,14,4,8
00,1610612754,IND,Indiana,30,15,14,9,1,4,0,15,9,11
00,1610612753,ORL,Orlando,38,16,11,9,23,16,2,20,12,17
00,1610612755,PHI,Philadelphia,58,31,18,11,23,16,0,23,12,22
00,1610612738,BOS,Boston,36,12,10,15,1,1,3,15,9,20
00,1610612749,MIL,Milwaukee,40,11,14,2,1,1,3,15,7,19
00,1610612743,DEN,Denver,50,16,15,28,7,3,0,10,9,15
00,1610612751,BKN,Brooklyn,48,6,16,8,7,3,0,11,4,13
00,1610612748,MIA,Miami,48,17,12,2,1,1,0,19,8,29
00,1610612765,DET,Detroit,60,15,15,18,1,1,4,22,12,14
00,1610612756,PHX,Phoenix,36,13,14,10,6,4,0,14,8,16
00,1610612763,MEM,Memphis,56,13,4,21,6,4,3,11,9,14
00,1610612742,DAL,Dallas,30,4,11,7,8,4,0,9,3,11
00,1610612766,CHA,Charlotte,38,6,9,12,8,4,1,11,7,6
00,1610612760,OKC,Oklahoma City,40,15,6,17,6,5,2,17,14,23
00,1610612758,SAC,Sacramento,26,16,13,12,6,5,0,8,5,9
00,1610612761,TOR,Toronto,42,17,8,27,2,7,1,19,5,17
00,1610612744,GSW,Golden State,46,14,16,9,2,7,0,12,5,20
00,1610612739,CLE,Cleveland,42,23,9,13,3,2,1,13,12,9
00,1610612743,DEN,Denver,46,11,12,3,3,2,0,11,5,16
00,1610612737,ATL,Atlanta,38,17,8,17,7,1,2,13,8,17
00,1610612746,LAC,Los Angeles,38,14,6,2,7,1,0,12,10,10
00,1610612745,HOU,Houston,40,21,14,2,5,7,1,23,5,25
00,1610612756,PHX,Phoenix,42,4,26,14,5,7,2,20,8,13
00,1610612765,DET,Detroit,48,22,15,15,2,3,0,15,16,20
00,1610612749,MIL,Milwaukee,46,11,22,7,2,3,0,17,9,22
00,1610612740,NOP,New Orleans,48,19,11,8,10,19,0,16,9,6
00,1610612742,DAL,Dallas,38,10,3,6,10,19,1,8,8,11
00,1610612754,IND,Indiana,54,6,21,12,10,4,0,8,7,8
00,1610612762,UTA,Utah,38,9,14,11,10,4,0,14,8,20
00,1610612759,SAS,San Antonio,52,11,23,0,0,0,0,16,9,18
00,1610612750,MIN,Minnesota,46,9,16,28,0,0,1,16,11,20
00,1610612757,POR,Portland,38,23,4,7,14,15,0,11,11,14
00,1610612760,OKC,Oklahoma City,50,20,26,12,14,15,1,14,8,16
00,1610612752,NYK,New York,30,12,10,34,0,1,0,12,9,14
00,1610612751,BKN,Brooklyn,38,22,3,0,0,1,0,16,15,19
00,1610612746,LAC,Los Angeles,30,12,14,24,3,5,0,15,10,19
00,1610612763,MEM,Memphis,40,11,8,8,3,5,1,17,12,23
00,1610612748,MIA,Miami,34,6,13,4,1,2,0,9,7,10
00,1610612741,CHI,Chicago,44,24,2,25,1,2,2,17,15,15
00,1610612766,CHA,Charlotte,58,9,22,18,2,6,0,9,7,6
00,1610612755,PHI,Philadelphia,54,12,10,8,2,6,1,16,12,15
00,1610612764,WAS,Washington,34,11,19,5,15,8,0,14,9,12
00,1610612749,MIL,Milwaukee,52,15,11,15,15,8,1,16,14,15
00,1610612739,CLE,Cleveland,42,20,4,2,1,1,0,11,10,16
00,1610612737,ATL,Atlanta,50,10,14,29,1,1,1,13,7,7
00,1610612743,DEN,Denver,42,15,16,0,0,0,0,14,7,15
00,1610612738,BOS,Boston,44,10,7,27,0,0,1,10,6,11
00,1610612752,NYK,New York,36,12,15,41,3,2,1,11,9,7
00,1610612753,ORL,Orlando,22,7,3,10,3,2,1,13,4,25
00,1610612744,GSW,Golden State,36,12,13,2,1,0,0,22,11,23
00,1610612745,HOU,Houston,54,10,22,28,1,0,1,16,10,15
00,1610612740,NOP,New Orleans,38,20,10,11,6,12,0,16,7,24
00,1610612760,OKC,Oklahoma City,48,5,17,20,6,12,0,14,10,12
00,1610612756,PHX,Phoenix,40,21,19,15,4,7,1,17,10,17
00,1610612761,TOR,Toronto,48,16,10,7,4,7,2,10,10,11
00,1610612762,UTA,Utah,50,14,17,3,1,4,1,17,6,28
00,1610612757,POR,Portland,50,21,14,42,1,4,0,21,2,26
00,1610612747,LAL,Los Angeles,36,17,10,9,12,7,0,12,11,11
00,1610612758,SAC,Sacramento,48,10,20,10,12,7,2,17,8,24
00,1610612755,PHI,Philadelphia,64,20,15,10,11,12,0,13,8,9
00,1610612743,DEN,Denver,42,19,5,13,11,12,3,14,11,20
00,1610612746,LAC,Los Angeles,32,13,20,2,9,7,0,13,13,10
00,1610612739,CLE,Cleveland,42,8,7,11,9,7,1,16,8,14
00,1610612765,DET,Detroit,36,10,19,19,7,6,0,18,6,17
00,1610612741,CHI,Chicago,32,16,14,7,7,6,0,13,11,11
00,1610612763,MEM,Memphis,42,18,9,0,0,2,2,10,10,12
00,1610612744,GSW,Golden State,50,14,14,26,0,2,1,11,7,15
00,1610612750,MIN,Minnesota,28,18,14,6,4,5,1,19,12,23
00,1610612748,MIA,Miami,56,11,24,24,4,5,0,20,8,22
00,1610612751,BKN,Brooklyn,44,8,4,12,11,5,0,8,8,6
00,1610612749,MIL,Milwaukee,30,11,8,5,11,5,1,12,11,21
00,1610612759,SAS,San Antonio,34,23,7,13,5,4,0,11,7,11
00,1610612754,IND,Indiana,26,8,7,26,5,4,0,14,4,22
00,1610612758,SAC,Sacramento,58,13,11,10,11,12,0,10,12,10
00,1610612762,UTA,Utah,40,12,18,10,10,12,0,16,12,13
